Timestamp,Node 11,Node 10,Node 9,Node 8,Node 7,Node 6,Node 5,Node 4,Node 3,Node 13,Node 0,Node 2,Node 12
500, Communicate+Comm, Communicate+Comm, Communicate+Comm, Communicate+Comm, Communicate+Comm, Communicate+Comm, Communicate+Comm, Communicate+Comm, Communicate+Comm, Communicate+Comm, Listen+Comm, Communicate+Comm, Communicate+Comm
1600, Sleep+Comm, Sleep+Comm, Sleep+Comm, Sleep+Comm, Sleep+Comm, Sleep+Comm, Sleep+Comm, Sleep+Comm, Sleep+Comm, Sleep+Comm, Sleep+Comm, Sleep+Comm, Sleep+Comm
2100, Communicate+Comm, Communicate+Comm, Communicate+Comm, Communicate+Comm, Communicate+Comm, Communicate+Comm, Communicate+Comm, Communicate+Comm, Communicate+Comm, Communicate+Comm,Transmit+Comm, Communicate+Comm, Communicate+Comm
3200, Sleep+Comm, Sleep+Comm, Sleep+Comm, Sleep+Comm, Sleep+Comm, Sleep+Comm, Sleep+Comm, Sleep+Comm, Sleep+Comm, Sleep+Comm, Sleep+Comm, Sleep+Comm, Sleep+Comm
3700, Communicate+Comm, Communicate+Comm, Communicate+Comm, Communicate+Comm, Communicate+Comm, Communicate+Comm, Communicate+Comm, Communicate+Comm, Communicate+Comm, Communicate+Comm, Listen+Comm, Communicate+Comm, Communicate+Comm
4800, Sleep+Comm, Sleep+Comm, Sleep+Comm, Sleep+Comm, Sleep+Comm, Sleep+Comm, Sleep+Comm, Sleep+Comm, Sleep+Comm, Sleep+Comm, Sleep+Comm, Sleep+Comm, Sleep+Comm
5300, Communicate+Comm, Communicate+Comm, Communicate+Comm, Communicate+Comm, Communicate+Comm, Communicate+Comm, Communicate+Comm, Communicate+Comm, Communicate+Comm, Communicate+Comm,Transmit+Comm, Communicate+Comm, Communicate+Comm
6400, Sleep+Comm, Sleep+Comm, Sleep+Comm, Sleep+Comm, Sleep+Comm, Sleep+Comm, Sleep+Comm, Sleep+Comm, Sleep+Comm, Sleep+Comm, Sleep+Comm, Sleep+Comm, Sleep+Comm
6900, Communicate+Comm, Communicate+Comm, Communicate+Comm, Communicate+Comm, Communicate+Comm, Communicate+Comm, Communicate+Comm, Communicate+Comm, Communicate+Comm, Communicate+Comm, Listen+Comm, Communicate+Comm, Communicate+Comm
8000, Sleep+Comm, Sleep+Comm, Sleep+Comm, Sleep+Comm, Sleep+Comm, Sleep+Comm, Sleep+Comm, Sleep+Comm, Sleep+Comm, Sleep+Comm, Sleep+Comm, Sleep+Comm, Sleep+Comm
8500, Communicate+Comm, Communicate+Comm, Communicate+Comm, Communicate+Comm, Communicate+Comm, Communicate+Comm, Communicate+Comm, Communicate+Comm, Communicate+Comm, Communicate+Comm,Transmit+Comm, Communicate+Comm, Communicate+Comm
9600, Sleep+Comm, Sleep+Comm, Sleep+Comm, Sleep+Comm, Sleep+Comm, Sleep+Comm, Sleep+Comm, Sleep+Comm, Sleep+Comm, Sleep+Comm, Sleep+Comm, Sleep+Comm, Sleep+Comm
10100, Communicate+Comm, Communicate+Comm, Communicate+Comm, Communicate+Comm, Communicate+Comm, Communicate+Comm, Communicate+Comm, Communicate+Comm, Communicate+Comm, Communicate+Comm, Listen+Comm, Communicate+Comm, Communicate+Comm
11200, Sleep+Comm, Sleep+Comm, Sleep+Comm, Sleep+Comm, Sleep+Comm, Sleep+Comm, Sleep+Comm, Sleep+Comm, Sleep+Comm, Sleep+Comm, Sleep+Comm, Sleep+Comm, Sleep+Comm
11700, Communicate+Comm, Communicate+Comm, Communicate+Comm, Communicate+Comm, Communicate+Comm, Communicate+Comm, Communicate+Comm, Communicate+Comm, Communicate+Comm, Communicate+Comm,Transmit+Comm, Communicate+Comm, Communicate+Comm
12800, Sleep+Comm, Sleep+Comm, Sleep+Comm, Sleep+Comm, Sleep+Comm, Sleep+Comm, Sleep+Comm, Sleep+Comm, Sleep+Comm, Sleep+Comm, Sleep+Comm, Sleep+Comm, Sleep+Comm
13300, Communicate+Comm, Communicate+Comm, Communicate+Comm, Communicate+Comm, Communicate+Comm, Communicate+Comm, Communicate+Comm, Communicate+Comm, Communicate+Comm, Communicate+Comm, Listen+Comm, Communicate+Comm, Communicate+Comm
14400, Sleep+Comm, Sleep+Comm, Sleep+Comm, Sleep+Comm, Sleep+Comm, Sleep+Comm, Sleep+Comm, Sleep+Comm, Sleep+Comm, Sleep+Comm, Sleep+Comm, Sleep+Comm, Sleep+Comm
14900, Communicate+Comm, Communicate+Comm, Communicate+Comm, Communicate+Comm, Communicate+Comm, Communicate+Comm, Communicate+Comm, Communicate+Comm, Communicate+Comm, Communicate+Comm,Transmit+Comm, Communicate+Comm, Communicate+Comm
16000, Sleep+Comm, Sleep+Comm, Sleep+Comm, Sleep+Comm, Sleep+Comm, Sleep+Comm, Sleep+Comm, Sleep+Comm, Sleep+Comm, Sleep+Comm, Sleep+Comm, Sleep+Comm, Sleep+Comm
16500, Communicate+Comm, Communicate+Comm, Communicate+Comm, Communicate+Comm, Communicate+Comm, Communicate+Comm, Communicate+Comm, Communicate+Comm, Communicate+Comm, Communicate+Comm, Listen+Comm, Communicate+Comm, Communicate+Comm
17600, Sleep+Comm, Sleep+Comm, Sleep+Comm, Sleep+Comm, Sleep+Comm, Sleep+Comm, Sleep+Comm, Sleep+Comm, Sleep+Comm, Sleep+Comm, Sleep+Comm, Sleep+Comm, Sleep+Comm
18100, Communicate+Comm, Communicate+Comm, Communicate+Comm, Communicate+Comm, Communicate+Comm, Communicate+Comm, Communicate+Comm, Communicate+Comm, Communicate+Comm, Communicate+Comm,Transmit+Comm, Communicate+Comm, Communicate+Comm
